Error category,Source sentence,Target sentence,Reference
N; U; W,"Airbnb is offering a lot of people talking about the environment a chance to participate in scientific research on how to best preserve it during an all-expense paid visit to India.","Airbnb为许多谈论环境的人提供了一个参与科学研究的机会，了解如何在对印度进行免费访问期间最好地保护环境。",""
N; U; W,"Airbnb is offering a lot of people talking about the environment a chance to participate in scientific research on how to best preserve it during an all-expense paid visit to Seattle.","Airbnb为许多谈论环境的人提供了一个参与科学研究的机会，了解如何在西雅图的免费付费访问期间最好地保护环境。",""
N; U; W,"Airbnb is offering a lot of people talking about the environment a chance to participate in scientific research on how to best preserve it during an all-expense paid visit to Haiti.","Airbnb为许多谈论环境的人提供了一个机会，让他们在对海地进行无偿访问期间参与科学研究，了解如何最好地保护环境。",""
N; U; W,"Airbnb is offering a lot of people talking about the environment a chance to participate in scientific research on how to best preserve it during an all-expense paid visit to China.","Airbnb为许多谈论环境的人提供了一个参与科学研究的机会，了解如何在无偿访问中国期间最好地保护环境。",""
L,"The coronavirus comes amid mass cancellation of flights and businesses as new cases are being diagnosed around the world every year.","冠状病毒是在航班和企业大规模取消之际出现的，因为世界各地每年都有新病例被诊断出来。","冠状病毒是在航班和企业大规模取消之际出现的，「因为【随着】」世界各地每年都有新病例被诊断出来。"
L,"The coronavirus comes amid widespread cancellation of flights and businesses as new cases are being diagnosed around the world every year.","冠状病毒是在航班和企业普遍取消的情况下出现的，因为世界各地每年都有新病例被诊断出来。",""
L,"The coronavirus comes amid frequent cancellation of flights and businesses as new cases are being diagnosed around the world every year.","冠状病毒是在航班和企业频繁取消的情况下出现的，因为每年都在世界各地诊断出新病例。",""
L,"The coronavirus comes amid massive cancellation of flights and businesses as new cases are being diagnosed around the world every year.","冠状病毒是在航班和企业大规模取消的情况下出现的，因为世界各地每年都有新病例被诊断出来。",""
L,"The coronavirus comes amid mass evacuation of flights and businesses as new cases are being diagnosed around the world every year.","冠状病毒是在航班和企业大规模疏散的情况下出现的，因为世界各地每年都有新病例被诊断出来。",""
L,"The coronavirus comes amid mass disruption of flights and businesses as new cases are being diagnosed around the world every year.","冠状病毒是在航班和业务大规模中断的情况下出现的，因为每年都在世界各地诊断出新病例。",""
L,"The coronavirus comes amid mass loss of flights and businesses as new cases are being diagnosed around the world every year.","冠状病毒是在航班和企业大规模流失的情况下出现的，因为世界各地每年都有新病例被诊断出来。",""
L,"The coronavirus comes amid mass cancellation of homes and businesses as new cases are being diagnosed around the world every year.","冠状病毒是在家庭和企业大规模取消的情况下出现的，因为世界各地每年都有新病例被诊断出来。",""
L,"The coronavirus comes amid mass cancellation of jobs and businesses as new cases are being diagnosed around the world every year.","冠状病毒是在大规模取消工作和企业的情况下出现的，因为世界各地每年都有新病例被诊断出来。",""
L,"The coronavirus comes amid mass cancellation of schools and businesses as new cases are being diagnosed around the world every year.","冠状病毒是在学校和企业大规模取消的情况下出现的，因为世界各地每年都有新病例被诊断出来。",""
L,"The coronavirus comes amid mass cancellation of services and businesses as new cases are being diagnosed around the world every year.","冠状病毒是在服务和业务大规模取消的情况下出现的，因为世界各地每年都有新病例被诊断出来。",""
L,"The coronavirus comes amid mass cancellation of clinics and businesses as new cases are being diagnosed around the world every year.","冠状病毒是在诊所和企业大规模取消的情况下出现的，因为世界各地每年都有新病例被诊断出来。",""
L,"The coronavirus comes amid mass cancellation of events and businesses as new cases are being diagnosed around the world every year.","冠状病毒是在活动和企业大规模取消的情况下出现的，因为世界各地每年都有新病例被诊断出来。",""
L,"The coronavirus comes amid mass cancellation of farms and businesses as new cases are being diagnosed around the world every year.","冠状病毒是在农场和企业大规模取消的情况下出现的，因为世界各地每年都有新病例被诊断出来。",""
L,"The coronavirus comes amid mass cancellation of flights and accidents as new cases are being diagnosed around the world every year.","冠状病毒是在航班和事故大规模取消的情况下出现的，因为世界各地每年都有新病例被诊断出来。",""
L,"The coronavirus comes amid mass cancellation of flights and appointments as new cases are being diagnosed around the world every year.","冠状病毒是在航班和预约大规模取消的情况下出现的，因为世界各地每年都有新病例被诊断出来。",""
L,"The coronavirus comes amid mass cancellation of flights and businesses as new diseases are being diagnosed around the world every year.","冠状病毒是在航班和企业大规模取消的情况下出现的，因为每年都在世界各地诊断出新的疾病。",""
L,"The coronavirus comes amid mass cancellation of flights and businesses as new viruses are being diagnosed around the world every year.","冠状病毒是在航班和企业大规模取消的情况下出现的，因为每年都有新的病毒在世界各地被诊断出来。",""
L,"The coronavirus comes amid mass cancellation of flights and businesses as new cases are being diagnosed around the world every week.","冠状病毒是在航班和企业大规模取消的情况下出现的，因为世界各地每周都会诊断出新病例。",""
L,"The coronavirus comes amid mass cancellation of flights and businesses as new cases are being diagnosed around the world every month.","冠状病毒是在航班和企业大规模取消的情况下出现的，因为世界各地每个月都会诊断出新病例。",""
U,"We are very used to operating in that way and of course that is one of our signals to tourists that we are doing it to make tourism safe and secure.","我们非常习惯于以这种方式运作，当然这是我们向游客发出的信号之一，我们这样做是为了使旅游业安全可靠。","我们非常习惯于以这种方式运作，当然这是我们向游客发出的信号之一，我们【正在】这样做是为了使旅游业安全可靠。"
U,"We are very open to operating in that way and of course that is one of our signals to tourists that we are doing it to make tourism safe and secure.","我们非常愿意以这种方式运营，当然这是我们向游客发出的信号之一，我们这样做是为了使旅游业安全可靠。",""
U,"We are very opposed to operating in that way and of course that is one of our signals to tourists that we are doing it to make tourism safe and secure.","我们非常反对以这种方式运作，当然这是我们向游客发出的信号之一，我们这样做是为了使旅游业安全可靠。",""
U,"We are very committed to operating in that manner and of course that is one of our signals to tourists that we are doing it to make tourism safe and secure.","我们非常致力于以这种方式运营，当然这是我们向游客发出的信号之一，我们这样做是为了使旅游业安全可靠。",""
U,"We are very committed to operating in that area and of course that is one of our signals to tourists that we are doing it to make tourism safe and secure.","我们非常致力于在这一领域开展业务，当然这是我们向游客发出的信号之一，我们这样做是为了使旅游业安全可靠。",""
U,"We are very committed to operating in that environment and of course that is one of our signals to tourists that we are doing it to make tourism safe and secure.","我们非常致力于在这种环境中运营，当然这是我们向游客发出的信号之一，我们这样做是为了使旅游业安全可靠。",""
U,"We are very committed to operating in that respect and of course that is one of our signals to tourists that we are doing it to make tourism safe and secure.","我们非常致力于在这方面开展业务，当然这是我们向游客发出的信号之一，我们这样做是为了使旅游业安全可靠。",""
U,"We are very committed to operating in that capacity and of course that is one of our signals to tourists that we are doing it to make tourism safe and secure.","我们非常致力于以这种身份运营，当然这是我们向游客发出的信号之一，我们这样做是为了使旅游业安全可靠。",""
U,"We are very committed to operating in that spirit and of course that is one of our signals to tourists that we are doing it to make tourism safe and secure.","我们非常致力于本着这种精神运营，当然这是我们向游客发出的信号之一，我们这样做是为了使旅游业安全可靠。",""
U,"We are very committed to operating in that way and of course that is one of our messages to tourists that we are doing it to make tourism safe and secure.","我们非常致力于以这种方式运营，当然这是我们向游客传达的信息之一，我们这样做是为了使旅游业安全可靠。",""
U,"We are very committed to operating in that way and of course that is one of our words to tourists that we are doing it to make tourism safe and secure.","我们非常致力于以这种方式运营，当然这是我们对游客的话之一，我们这样做是为了使旅游业安全可靠。",""
U,"We are very committed to operating in that way and of course that is one of our signals to people that we are doing it to make tourism safe and secure.","我们非常致力于以这种方式运作，当然这是我们向人们发出的信号之一，我们这样做是为了使旅游业安全可靠。",""
U,"We are very committed to operating in that way and of course that is one of our signals to tourists that we are doing it to make everything safe and secure.","我们非常致力于以这种方式运营，当然这是我们向游客发出的信号之一，我们这样做是为了让一切都安全可靠。",""
U,"We are very committed to operating in that way and of course that is one of our signals to tourists that we are doing it to make everyone safe and secure.","我们非常致力于以这种方式运营，当然这是我们向游客发出的信号之一，我们这样做是为了让每个人都安全无虞。",""
U,"We are very committed to operating in that way and of course that is one of our signals to tourists that we are doing it to make tourism profitable and secure.","我们非常致力于以这种方式运营，当然这是我们向游客发出的信号之一，我们这样做是为了使旅游业有利可图和安全。",""
U,"We are very committed to operating in that way and of course that is one of our signals to tourists that we are doing it to make tourism enjoyable and secure.","我们非常致力于以这种方式运营，当然这是我们向游客发出的信号之一，我们这样做是为了使旅游业愉快和安全。",""
U,"We are very committed to operating in that way and of course that is one of our signals to tourists that we are doing it to make tourism viable and secure.","我们非常致力于以这种方式运营，当然这是我们向游客发出的信号之一，我们这样做是为了使旅游业可行和安全。",""
U,"We are very committed to operating in that way and of course that is one of our signals to tourists that we are doing it to make tourism safe and fun.","我们非常致力于以这种方式运营，当然这是我们向游客发出的信号之一，我们这样做是为了让旅游业安全和有趣。",""
U,"A young chef at the Chairman spends more than a year practicing on the wok by serving staff meals before he or she is able to stir fry a batch for customers.","主席的一位年轻厨师花了一年多的时间在炒锅上练习，为员工提供餐点，然后才能为顾客炒一批。","主席的一位年轻厨师花了一年多的时间在炒锅上练习，为员工提供餐点，然后才能为顾客炒一批【菜】。"
W,"The drop in the numbers led to an unprecedented 10-day period where, before their closure, Italy's cultural institutions were offering pretty much private visits for tourists and visitors alike.","人数的下降导致了前所未有的10天时间，在关闭之前，意大利的文化机构为游客和游客提供了几乎私人参观。","「人数【数量】」的下降导致了前所未有的10天时间，在关闭之前，意大利的文化机构为游客和游客提供了「几乎【很多】」私人参观。"
O; W,"The drop in the ratings led to an unprecedented 10-day period where, before their closure, Italy's cultural institutions were offering pretty much private visits for tourists and visitors alike.","收视率的下降导致了前所未有的10天时间，在关闭之前，意大利的文化机构为游客和游客提供了几乎私人参观的机会。","「收视率」的下降导致了前所未有的10天时间，在关闭之前，意大利的文化机构为游客和游客提供了「几乎」私人参观「的机会」。"
W,"The drop in the numbers led to an unusual 10-day period where, before their closure, Italy's cultural institutions were offering pretty much private visits for tourists and visitors alike.","人数的下降导致了一个不寻常的10天时间，在关闭之前，意大利的文化机构为游客和游客提供了几乎私人参观。",""
U; W,"The drop in the numbers led to an annual 10-day period where, before their closure, Italy's cultural institutions were offering pretty much private visits for tourists and visitors alike.","人数的下降导致每年10天的时间，在关闭之前，意大利的文化机构几乎为游客和游客提供私人参观。",""
W,"The drop in the numbers led to an extraordinary 10-day period where, before their closure, Italy's cultural institutions were offering pretty much private visits for tourists and visitors alike.","人数的下降导致了一个非凡的10天时间，在关闭之前，意大利的文化机构为游客和游客提供了几乎私人参观。",""
O; W,"The drop in the numbers led to an unprecedented 10-day period where, before their closure, Italy's cultural centres were offering pretty much private visits for tourists and visitors alike.","人数的下降导致了前所未有的10天时间，在关闭之前，意大利的文化中心为游客和游客提供了几乎私人参观的机会。",""
O; W,"The drop in the numbers led to an unprecedented 10-day period where, before their closure, Italy's cultural museums were offering pretty much private visits for tourists and visitors alike.","数量的下降导致了前所未有的10天时间，在关闭之前，意大利的文化博物馆为游客和游客提供了几乎私人参观的机会。",""
O; W,"The drop in the numbers led to an unprecedented 10-day period where, before their closure, Italy's cultural sites were offering pretty much private visits for tourists and visitors alike.","人数的下降导致了前所未有的10天时间，在关闭之前，意大利的文化遗址为游客和游客提供了几乎私人参观的机会。",""
W,"The drop in the numbers led to an unprecedented 10-day period where, before their closure, Italy's cultural institutions were offering pretty much daily visits for tourists and visitors alike.","人数的下降导致了前所未有的10天时间，在关闭之前，意大利的文化机构几乎每天都为游客和游客提供访问。",""
W,"The drop in the numbers led to an unprecedented 10-day period where, before their closure, Italy's cultural institutions were offering pretty much hourly visits for tourists and visitors alike.","人数的下降导致了前所未有的10天时间，在关闭之前，意大利的文化机构几乎每小时为游客和游客提供访问。",""
W,"The drop in the numbers led to an unprecedented 10-day period where, before their closure, Italy's cultural institutions were offering pretty much weekly visits for tourists and visitors alike.","人数的下降导致了前所未有的10天时间，在关闭之前，意大利的文化机构几乎每周都会为游客和游客提供参观。",""
N,"The number of visitors who have checked into bars and restaurants in the area of the lake has also grown significantly since then as compared with the early days of the COVID-19 program.","从那时起，与 COVID-19 计划的早期相比，在湖区登记入住酒吧和餐馆的游客人数也显着增加。","从那时起，与 「COVID-19」 计划的早期相比，在湖区登记入住酒吧和餐馆的游客人数也显着增加。"
N,"The number of people who have checked into bars and restaurants in the area of the lake has also grown significantly since then as compared with the early days of the COVID-19 program.","从那时起，与 COVID-19 计划的早期相比，在湖区登记酒吧和餐馆的人数也显着增加。",""
N,"The number of individuals who have checked into bars and restaurants in the area of the lake has also grown significantly since then as compared with the early days of the COVID-19 program.","从那时起，与 COVID-19 计划的早期相比，在湖区登记酒吧和餐馆的人数也显着增加。",""
N,"The number of visitors who have checked into bars and restaurants in the area of the base has also grown significantly since then as compared with the early days of the COVID-19 program.","从那时起，与 COVID-19 计划的早期相比，在基地地区登记酒吧和餐馆的游客人数也显着增加。",""
N,"The number of visitors who have checked into bars and restaurants in the area of the camp has also grown significantly since then as compared with the early days of the COVID-19 program.","从那时起，与 COVID-19 计划的早期相比，在营地地区登记酒吧和餐馆的游客人数也显着增加。",""
N,"The number of visitors who have checked into bars and restaurants in the area of the lake has also grown considerably since then as compared with the early days of the COVID-19 program.","从那时起，与 COVID-19 计划的早期相比，在湖区登记酒吧和餐馆的游客人数也大幅增加。",""
N,"The number of visitors who have checked into bars and restaurants in the area of the lake has also grown significantly since then as compared with the previous days of the COVID-19 program.","从那时起，与 COVID-19 计划的前几天相比，在湖区登记入住酒吧和餐馆的游客人数也显着增加。",""
N,"The number of visitors who have checked into bars and restaurants in the area of the lake has also grown significantly since then as compared with the initial days of the COVID-19 program.","从那时起，与 COVID-19 计划的最初几天相比，在湖区登记入住酒吧和餐馆的游客人数也显着增加。",""
N,"The number of visitors who have checked into bars and restaurants in the area of the lake has also grown significantly since then as compared with the last days of the COVID-19 program.","从那时起，与 COVID-19 计划的最后几天相比，在湖区登记入住酒吧和餐馆的游客人数也显着增加。",""
N,"The number of visitors who have checked into bars and restaurants in the area of the lake has also grown significantly since then as compared with the prior days of the COVID-19 program.","从那时起，与 COVID-19 计划的前几天相比，在湖区登记入住酒吧和餐馆的游客人数也显着增加。",""
N,"The number of visitors who have checked into bars and restaurants in the area of the lake has also grown significantly since then as compared with the final days of the COVID-19 program.","从那时起，与 COVID-19 计划的最后几天相比，在湖区登记入住酒吧和餐馆的游客人数也显着增加。",""
N,"The number of visitors who have checked into bars and restaurants in the area of the lake has also grown significantly since then as compared with the early stages of the COVID-19 program.","从那时起，与 COVID-19 计划的早期阶段相比，在湖区登记入住酒吧和餐馆的游客人数也显着增加。",""
N,"The number of visitors who have checked into bars and restaurants in the area of the lake has also grown significantly since then as compared with the early phases of the COVID-19 program.","从那时起，与 COVID-19 计划的早期阶段相比，在湖区登记入住酒吧和餐馆的游客人数也显着增加。",""
N,"The number of visitors who have checked into bars and restaurants in the area of the lake has also grown significantly since then as compared with the early days of the COVID-19 project.","与 COVID-19 项目的早期相比，从那时起，在湖区登记入住酒吧和餐馆的游客人数也显着增加。",""
W,"The opening of this new pedestrian walkway on this most famous address is symbolic of a new beginning when a city and its people come together as one to read the novel coronavirus.","在这个最著名的地址上开放这条新的人行道象征着一个新的开始，当一个城市及其人民聚集在一起阅读新型冠状病毒时。","在这个最著名的地址上开放这条新的人行道象征着一个新的开始，当一个城市及其人民聚集在一起「阅读【理解/了解】」新型冠状病毒时。"
W,"The presence of this new pedestrian walkway on this most famous address is symbolic of a new beginning when a city and its people come together as one to read the novel coronavirus.","在这个最著名的地址上，这条新的人行道的存在象征着一个新的开始，当一个城市及其人民聚集在一起阅读新型冠状病毒时。",""
W,"The location of this new pedestrian walkway on this most famous address is symbolic of a new beginning when a city and its people come together as one to read the novel coronavirus.","这条新的人行道位于这个最著名的地址上，象征着一个新的开始，当一个城市和它的人民聚集在一起阅读新型冠状病毒时。",""
W,"The opening of this covered pedestrian walkway on this most famous address is symbolic of a new beginning when a city and its people come together as one to read the novel coronavirus.","在这个最著名的地址上，这条有盖的人行道的开放象征着一个新的开始，当一个城市和它的人民聚集在一起阅读新型冠状病毒时。",""
W,"The opening of this new covered walkway on this most famous address is symbolic of a new beginning when a city and its people come together as one to read the novel coronavirus.","在这个最著名的地址上开放这条新的有盖人行道象征着一个新的开始，当一个城市及其人民聚集在一起阅读新型冠状病毒时。",""
W,"The opening of this new pedestrian street on this most famous address is symbolic of a new beginning when a city and its people come together as one to read the novel coronavirus.","这条新步行街在这个最著名的地址开放，象征着一个新的开始，一个城市和它的人民聚集在一起阅读新型冠状病毒。",""
O,"Last week nearly 4 million visitors flowed into the province, according to the provincial culture and tourism ministry.","根据省文化和旅游部的数据，上周有近400万游客流入该省。","根据省文化和旅游部「的数据」，上周有近400万游客流入该省。"
U,"It might be said that the great writers of each generation have not only succeeded in evoking a place or people, but also creating a distinctive, yet unheard voice through which to do so.","可以说，每一代的伟大作家不仅成功地唤起了一个地方或民族，而且还创造了一种独特的、但闻所未闻的声音。","可以说，每一代的伟大作家不仅成功地唤起了一个地方或民族，而且还创造了一种独特的、但闻所未闻的声音【来做到这一点】。"
U,"It might be said that the great writers of each country have not only succeeded in evoking a place or people, but also creating a distinctive, yet unheard voice through which to do so.","可以说，每个国家的伟大作家不仅成功地唤起了一个地方或人民，而且还创造了一种独特的、但闻所未闻的声音。",""
U,"It might be said that the great writers of each century have not only succeeded in evoking a place or people, but also creating a distinctive, yet unheard voice through which to do so.","可以说，每个世纪的伟大作家不仅成功地唤起了一个地方或民族，而且还创造了一种独特的、但闻所未闻的声音。",""
U,"It might be said that the great writers of each nation have not only succeeded in evoking a place or people, but also creating a distinctive, yet unheard voice through which to do so.","可以说，每个国家的伟大作家不仅成功地唤起了一个地方或民族，而且还创造了一种独特的、但闻所未闻的声音。",""
U,"It might be said that the great writers of each language have not only succeeded in evoking a place or people, but also creating a distinctive, yet unheard voice through which to do so.","可以说，每种语言的伟大作家不仅成功地唤起了一个地方或民族，而且还创造了一种独特的、但闻所未闻的声音。",""
U,"It might be said that the great writers of each genre have not only succeeded in evoking a place or people, but also creating a distinctive, yet unheard voice through which to do so.","可以说，每种体裁的伟大作家不仅成功地唤起了一个地方或民族，而且还创造了一种独特的、但闻所未闻的声音。",""
U,"It might be said that the great writers of each nationality have not only succeeded in evoking a place or people, but also creating a distinctive, yet unheard voice through which to do so.","可以说，每个民族的伟大作家不仅成功地唤起了一个地方或民族，而且还创造了一种独特的、但闻所未闻的声音。",""
W,"Hotels treating their few customers like royalty, like art galleries where solo guests stood nose-to-nose with renaissance art.","酒店像皇室一样对待他们的少数客户，就像艺术画廊一样，独行客人与文艺复兴时期的艺术面对面。","酒店像皇室一样对待他们的少数客户，就像艺术画廊一样，独行客人与文艺复兴时期的艺术「面对面【针锋相对】」。"
W,"Hotels treating their few customers like royalty, like art exhibitions where solo guests stood nose-to-nose with renaissance art.","酒店像对待皇室一样对待他们的少数客户，就像艺术展览一样，独行客人与文艺复兴时期的艺术面对面。",""
N,"Kraisorn said a significant percentage of Chinese people prefer to eat durians that are small in size, with white and creamy flesh, and with a taste that is not as pungent as larger durian varieties.","Kraisorn说，很大一部分中国人更喜欢吃体积小、果肉白色和奶油状的榴莲，味道不像较大的榴莲品种那么刺鼻。","「Kraisorn」说，很大一部分中国人更喜欢吃体积小、果肉白色和奶油状的榴莲，味道不像较大的榴莲品种那么刺鼻。"
N,"Kraisorn said a significant proportion of Chinese people prefer to eat durians that are small in size, with white and creamy flesh, and with a taste that is not as pungent as larger durian varieties.","Kraisorn说，很大一部分中国人更喜欢吃体积小、果肉白色和奶油状的榴莲，味道不像较大的榴莲品种那么刺鼻。",""
N,"Kraisorn said a significant portion of Chinese people prefer to eat durians that are small in size, with white and creamy flesh, and with a taste that is not as pungent as larger durian varieties.","Kraisorn说，很大一部分中国人更喜欢吃体积小的榴莲，果肉呈白色和奶油状，味道不如较大的榴莲品种刺鼻。",""
N,"Kraisorn said a significant fraction of Chinese people prefer to eat durians that are small in size, with white and creamy flesh, and with a taste that is not as pungent as larger durian varieties.","Kraisorn说，相当一部分中国人喜欢吃体积小、果肉白色和奶油状的榴莲，味道不像较大的榴莲品种那么刺鼻。",""
L,"Kraisorn said a significant amount of Chinese people prefer to eat durians that are small in size, with white and creamy flesh, and with a taste that is not as pungent as larger durian varieties.","克莱索恩说，相当多的中国人喜欢吃榴莲，榴莲体积小，果肉呈白色和奶油状，味道不如较大的榴莲品种刺鼻。","克莱索恩说，相当多的中国人喜欢吃「榴莲，榴莲」体积小，果肉呈白色和奶油状【的榴莲】，味道不如较大的榴莲品种刺鼻。"
N,"Kraisorn said a significant number of Indonesian people prefer to eat durians that are small in size, with white and creamy flesh, and with a taste that is not as pungent as larger durian varieties.","Kraisorn说，相当多的印度尼西亚人更喜欢吃体积小的榴莲，果肉呈白色和奶油状，味道不如较大的榴莲品种那么刺鼻。",""
N,"Kraisorn said a significant number of Malaysian people prefer to eat durians that are small in size, with white and creamy flesh, and with a taste that is not as pungent as larger durian varieties.","Kraisorn说，相当多的马来西亚人更喜欢吃体积小的榴莲，果肉呈白色和奶油状，味道不如较大的榴莲品种刺鼻。",""
N,"Kraisorn said a significant number of local people prefer to eat durians that are small in size, with white and creamy flesh, and with a taste that is not as pungent as larger durian varieties.","Kraisorn说，相当多的当地人喜欢吃体积小的榴莲，果肉呈白色和奶油状，味道不如较大的榴莲品种那么刺鼻。",""
N,"Kraisorn said a significant number of young people prefer to eat durians that are small in size, with white and creamy flesh, and with a taste that is not as pungent as larger durian varieties.","Kraisorn说，相当多的年轻人喜欢吃体积小的榴莲，果肉呈白色和奶油状，味道不如较大的榴莲品种刺鼻。",""
N,"Kraisorn said a significant number of Taiwanese people prefer to eat durians that are small in size, with white and creamy flesh, and with a taste that is not as pungent as larger durian varieties.","Kraisorn说，相当多的台湾人喜欢吃体积小、果肉白色和奶油状的榴莲，味道不如较大的榴莲品种那么刺鼻。",""
N,"Kraisorn said a significant number of Dutch people prefer to eat durians that are small in size, with white and creamy flesh, and with a taste that is not as pungent as larger durian varieties.","Kraisorn说，相当多的荷兰人喜欢吃体积小的榴莲，果肉呈白色和奶油状，味道不如较大的榴莲品种那么刺鼻。",""
L,"Kraisorn said a significant number of Chinese children prefer to eat durians that are small in size, with white and creamy flesh, and with a taste that is not as pungent as larger durian varieties.","克莱索恩说，相当多的中国孩子更喜欢吃榴莲，榴莲体积小，果肉呈白色和奶油状，味道不如较大的榴莲品种刺鼻。",""
N,"Kraisorn said a significant number of Chinese people prefer to eat durians that are similar in size, with white and creamy flesh, and with a taste that is not as pungent as larger durian varieties.","Kraisorn说，相当多的中国人喜欢吃大小相似的榴莲，果肉呈白色和奶油状，味道不如较大的榴莲品种刺鼻。",""
N,"Kraisorn said a significant number of Chinese people prefer to eat durians that are small in diameter, with white and creamy flesh, and with a taste that is not as pungent as larger durian varieties.","Kraisorn说，相当多的中国人喜欢吃直径小的榴莲，果肉呈白色和奶油状，味道不如较大的榴莲品种刺鼻。",""
L,"Kraisorn said a significant number of Chinese people prefer to eat durians that are small in size, with soft and creamy flesh, and with a taste that is not as pungent as larger durian varieties.","克莱索恩说，相当多的中国人喜欢吃榴莲，榴莲体积小，果肉柔软奶油，味道不像较大的榴莲品种那么刺鼻。",""
L,"Kraisorn said a significant number of Chinese people prefer to eat durians that are small in size, with rich and creamy flesh, and with a taste that is not as pungent as larger durian varieties.","克莱索恩说，相当多的中国人喜欢吃榴莲，榴莲体积小，果肉丰富，奶油状，味道不如较大的榴莲品种刺鼻。",""
L; W,"Kraisorn said a significant number of Chinese people prefer to eat durians that are small in size, with white and creamy skin, and with a taste that is not as pungent as larger durian varieties.","克莱索恩说，相当多的中国人喜欢吃榴莲，榴莲体积小，皮肤白皙奶油状，味道不如较大的榴莲品种刺鼻。","克莱索恩说，相当多的中国人喜欢吃榴莲，榴莲体积小，「皮肤【果皮】」白皙奶油状，味道不如较大的榴莲品种刺鼻。"
L; N,"Kraisorn said a significant number of Chinese people prefer to eat durians that are small in size, with white and creamy flesh, and with a flavor that is not as pungent as larger durian varieties.","Kraisorn说，相当多的中国人喜欢吃榴莲，榴莲体积小，果肉呈白色和奶油状，味道不如较大的榴莲品种刺鼻。",""
N,"Kraisorn said a significant number of Chinese people prefer to eat durians that are small in size, with white and creamy flesh, and with a sauce that is not as pungent as larger durian varieties.","Kraisorn说，相当多的中国人更喜欢吃体积小的榴莲，肉质呈白色和奶油状，酱汁不像较大的榴莲品种那样刺鼻。",""
N,"Kraisorn said a significant number of Chinese people prefer to eat durians that are small in size, with white and creamy flesh, and with a scent that is not as pungent as larger durian varieties.","Kraisorn说，相当多的中国人喜欢吃体积小、果肉白色和奶油状的榴莲，气味不像较大的榴莲品种那么刺鼻。",""
L,"Kraisorn said a significant number of Chinese people prefer to eat durians that are small in size, with white and creamy flesh, and with a taste that is not as pungent as larger durian dishes.","克莱索恩说，相当多的中国人喜欢吃榴莲，榴莲体积小，肉白奶油，味道不像大榴莲菜那么刺鼻。",""
U,"Kraisorn said a significant number of Chinese people prefer to eat durians that are small in size, with white and creamy flesh, and with a taste that is not as pungent as larger durian species.","克莱索恩说，相当多的中国人喜欢吃体积小、果肉白色和奶油状、味道不如大型榴莲那么刺鼻的榴莲。","克莱索恩说，相当多的中国人喜欢吃体积小、果肉白色和奶油状、味道不如大型榴莲【…】那么刺鼻的榴莲。"
N,"Kraisorn said a significant number of Chinese people prefer to eat durians that are small in size, with white and creamy flesh, and with a taste that is not as pungent as larger durian types.","Kraisorn说，相当多的中国人喜欢吃体积小的榴莲，肉质呈白色和奶油状，味道不如较大的榴莲那么刺鼻。",""
U,"The newly reinvigorated Ocean Park allows visitors to chill out and get closer to nature with a variety of exclusive offers and new outdoor initiatives, while also ensuring that anti-pandemic measures are in place to protect their environment.","重新焕发活力的海洋公园为游客提供各种独家优惠和新的户外活动，让游客放松身心，亲近大自然，同时确保采取防疫措施保护环境。","【最近】重新焕发活力的海洋公园为游客提供各种独家优惠和新的户外活动，让游客放松身心，亲近大自然，同时确保采取防疫措施保护环境。"
U,"The newly reinvigorated Ocean Zone allows visitors to chill out and get closer to nature with a variety of exclusive offers and new outdoor initiatives, while also ensuring that anti-pandemic measures are in place to protect their environment.","重新焕发活力的海洋区让游客放松一下，亲近大自然，提供各种独家优惠和新的户外活动，同时确保采取防疫措施保护他们的环境。",""
U,"The newly reinvigorated Ocean Park allows visitors to chill out and get closer to nature with a host of exclusive offers and new outdoor initiatives, while also ensuring that anti-pandemic measures are in place to protect their environment.","重新焕发活力的海洋公园为游客提供一系列独家优惠和新的户外活动，让游客放松一下，亲近大自然，同时确保采取防疫措施保护环境。",""
U,"The newly reinvigorated Ocean Park allows visitors to chill out and get closer to nature with a variety of interactive offers and new outdoor initiatives, while also ensuring that anti-pandemic measures are in place to protect their environment.","重新焕发活力的海洋公园为游客提供各种互动优惠和新的户外活动，让游客放松一下，亲近大自然，同时确保采取防疫措施保护环境。",""
W,"The newly reinvigorated Ocean Park allows visitors to chill out and get closer to nature with a variety of exclusive areas and new outdoor initiatives, while also ensuring that anti-pandemic measures are in place to protect their environment.","重新焕然一新的海洋公园，透过各种专属区域和新的户外活动，让游客放松身心，亲近大自然，同时确保采取防疫措施保护环境。","「重新」焕然一新的海洋公园，透过各种专属区域和新的户外活动，让游客放松身心，亲近大自然，同时确保采取防疫措施保护环境。"
W,"The newly reinvigorated Ocean Park allows visitors to chill out and get closer to nature with a variety of exclusive offers and creative outdoor initiatives, while also ensuring that anti-pandemic measures are in place to protect their environment.","重新焕然一新的海洋公园，透过各种独家优惠和创意户外活动，让游客放松身心，亲近大自然，同时确保采取防疫措施保护环境。",""
U,"The newly reinvigorated Ocean Park allows visitors to chill out and get closer to nature with a variety of exclusive offers and new cultural initiatives, while also ensuring that anti-pandemic measures are in place to protect their environment.","重新焕发活力的海洋公园为游客提供各种独家优惠和新的文化活动，让游客放松一下，亲近大自然，同时确保采取防疫措施保护环境。",""
